wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
N6Ackzw9S,https://weibo.cn/comment/N6Ackzw9S?uid=2014433131&rl=0#cmtfrm,你在觉得空调风太硬，考虑下一套做恒温时，街边依旧有人摆着瓦工的牌牌等生计；你觉得市场太差，考虑下周努力点再赚5%时，有人正在向券商苦苦哀求展期不要强平；你嫌弃馆子的音乐太炒，考虑让乐的烟酒嗓妹子solo，有人正在回味一口牛腩饭而不可得；你嫌孩子总惦记打游戏，打算把他送去数学游学营，...全文 ,,无,True,无,2023-06-23 07:12 ,iPhone 14 Pro Max,2755,170,264
N6kou5nit,https://weibo.cn/comment/N6kou5nit?uid=2014433131&rl=0#cmtfrm,前妻掌握着最可怕的黑语料，一旦投喂，大模型就坏了。  ,,无,True,无,2023-06-21 14:58,微博网页版,3405,28,249
N6kn420l1,https://weibo.cn/comment/N6kn420l1?uid=2014433131&rl=0#cmtfrm,端午劫安康  原图 ,http://ww4.sinaimg.cn/large/7811cf6bly1hf5ukaqhhtj21eo0vo4ee.jpg,无,True,无,2023-06-21 14:55,微博网页版,3332,50,404
N6ivwnUNF,https://weibo.cn/comment/N6ivwnUNF?uid=2014433131&rl=0#cmtfrm,留着的仓位想着节后再买的，看这跌出翔的鸟样，先买点吧，尽一下多头义务。  ,,无,True,无,2023-06-21 10:10,微博网页版,3548,13,372
N6hSscS0x,https://weibo.cn/comment/N6hSscS0x?uid=2014433131&rl=0#cmtfrm,最近几天，不下10个人来讨论一个老问题：L3以及L3+自动驾驶的责任认定问题。不用讨论啊，咱们新交法的指引是驾驶员负主要责任。出了事，先找驾驶员，然后驾驶员再去找主机厂或者其他服务商。呃，这个其实我之前就一直吐槽的。在中国这种鉴定环境下，个人要扳倒主机厂或者服务商，让他认错，太难了。...全文 ,,无,True,无,2023-06-21 08:34,微博网页版,2401,73,167
N6hCsvl4b,https://weibo.cn/comment/N6hCsvl4b?uid=2014433131&rl=0#cmtfrm,今天是节前最后一个交易日，市场连续震荡了两天，交易量也保持在万亿以上，如果今天再扛住一天，保持交易量和市场活跃度，那么大家都可以有个好心情过节。LPR昨天落地是10个基点，其实作为信号而言，已经够了，更多的宽松需要等海外环境到位。海外资金对近期落地“强刺激”的预期比较大，未免有点落空...全文 ,,无,True,无,2023-06-21 07:54,微博网页版,3339,162,266
N6b3VlVJp,https://weibo.cn/comment/N6b3VlVJp?uid=2014433131&rl=0#cmtfrm,"转发理由:今天基本都在这三个切换模式内，明天继续观察。  
原始用户: 唐史主任司马迁
转发内容: 我尽量客观地说，尽量少得罪人地说实话。昨天的TMT占比已经极度高了，参照以往的几次调整，这一次的调整也快了。光模块还有多长的疯狗浪我不知道，但当一个光模块企业市值接近或超过一个核心ICT企业的时候，揣着明白装糊涂的人，就很难继续装下去了。你只是做光模块，他一样买通信，但送GPU，即使出...全文 ",无,,False,无,2023-06-20 15:13,微博网页版,1515,27,81
N6aMakCXU,https://weibo.cn/comment/N6aMakCXU?uid=2014433131&rl=0#cmtfrm,有些时候，感觉就是和单细胞生物一起炒股。。。。台积电，原来又不是全部不能流，你炒的那些个马甲，是啥？再说了，就算放开，28nm不还是拼工艺拼良率拼成本？这个走法，不像是台积电放开代工，看起来更像是《台湾省义勇军攻陷伪总统府，活捉蔡英文。台积电工委会积极武装护厂，挫败敌特破坏阴谋并...全文 ,,无,True,无,2023-06-20 14:29,微博网页版,2648,37,255
N6a5d4yrJ,https://weibo.cn/comment/N6a5d4yrJ?uid=2014433131&rl=0#cmtfrm,网信出的首批41个应用名单是适用《互联网信息服务深度合成管理规定》第十九调进行批复的。规定原文见连接 网页链接而对合成内容的定义，见截图。从这个公告来看，后续提供合成服务和合成服务的技术支持，都要根据本规定进行备案。可以推测，后续采用备案制的概率大于原来市场预期的审...全文 原图 ,http://ww3.sinaimg.cn/large/7811cf6bly1hf4l2q6n6xj21430tlaso.jpg,无,True,无,2023-06-20 12:43,微博网页版,1702,54,117
N69CreGew,https://weibo.cn/comment/N69CreGew?uid=2014433131&rl=0#cmtfrm,2017年还是啥时候来着，咱们开始喊消费电子向机器人渗透，第二赛道。然后短短5年，汽车已经进入了很顺当的L3+以上发展期。那么从二代机器人开始，汽车链向机器人链迁移，也是必然的。这个过程，可能会持续5年。理论上，这种创新产品，迭代到第四代，就会比较成熟了。成熟的工业用人形机器人，比服务...全文 ,,无,True,无,2023-06-20 11:32,微博网页版,2067,53,112
